ID,Name,Concepticon_ID,Concepticon_Gloss,Portuguese_Gloss
big,big,1202,BIG,grande
thick,thick,1244,THICK,grosso
wind,wind,960,WIND,vento
ripe,ripe,178,RIPE,maduro
saliva,saliva,1503,SALIVA,saliva
suck,suck,1421,SUCK,chupar
born,born,1090,BE BORN,Nascer
fruit,fruit,1507,FRUIT,fruta
tongue,tongue,1205,TONGUE,língua
navel,navel,1838,NAVEL,umbigo
nose,nose,1221,NOSE,nariz
stone,stone,668,ROCK,pedra
earth,earth,1228,EARTH (SOIL),terra
wash,wash,1453,WASH,lavar
root,root,670,ROOT,raiz
pull,pull,1455,PULL,puxar
maniocsqueezer,manioc squeezer,,,tipiti
you,you,1215,THOU,tu
this,this,1214,THIS,este
dig,dig,1418,DIG,cavar
run,run,1519,RUN,correr
burn,burn,2102,BURN,queimar
milk,milk,635,MILK,leite
rope,rope,1218,ROPE,corda
hold,hold,1448,HOLD,segurar
sand,sand,671,SAND,areia
squeeze,squeeze,1414,SQUEEZE,apertar
scratch,scratch,1436,SCRATCH,arranhar
walk,walk,1443,WALK,andar
star,star,1430,STAR,estrela
fall,fall,1280,FALL,cair
head,head,1256,HEAD,cabeça
i,i,1209,I,eu
blood,blood,946,BLOOD,sangue
rain,rain,658,RAIN (PRECIPITATION),chuva
woman,woman,962,WOMAN,mulher
left,left,244,LEFT,esquerdo
hit,hit,1433,HIT,bater
kill,kill,1417,KILL,matar
throw,throw,1456,THROW,jogar
rotten,rotten,1728,ROTTEN,podre
red,red,156,RED,vermelho
drink,drink,1401,DRINK,beber
canoe,canoe,1970,CANOE,Canoa
smoke,smoke,778,SMOKE (EXHAUST),fumaça
black,black,163,BLACK,preto
louse,louse,310,HEAD LOUSE,piolho
hunt,hunt,1435,HUNT,caçar
salt,salt,1274,SALT,sal
far,far,1406,FAR,longe
push,push,1452,PUSH,empurrar
bite,bite,1403,BITE,morder
eat,eat,1336,EAT,comer
seed,seed,714,SEED,semente
egg,egg,744,EGG,ovo
sing,sing,1261,SING,cantar
say,say,1458,SAY,dizer
see,see,1409,SEE,ver
turn,turn,1588,TURN,virar
vomit,vomit,1278,VOMIT,vomitar
lightv,light (v),737,LIGHT (IGNITE),acender
lying,lying,215,LIE DOWN,deitado
sleep,sleep,1585,SLEEP,dormir
breast,breast,1402,BREAST,seio
bone,bone,1394,BONE,osso
corpse,corpse,767,CORPSE,Cadáver
split,split,1437,SPLIT,rachar
count,count,1420,COUNT,contar
fight,fight,1423,FIGHT,lutar
come,come,1446,COME,vir
devil,devil,1973,DEMON,Diabo
tie,tie,1917,TIE,amarrar
blow,blow,176,BLOW (WITH MOUTH),soprar
clean,clean,704,CLEAN,limpo
float,float,1574,FLOAT,fllutuar
how,how,1239,HOW,como
wife,wife,1199,WIFE,esposa
cut,cut,1432,CUT,cortar
fog,fog,249,FOG,neblina
play,play,1413,PLAY,jogar
animal,animal,619,ANIMAL,animal
fur,fur,580,FUR,pelo
horn,horn,1393,HORN (ANATOMY),chifre
no,no,1269,NO,não
dull,dull,379,BLUNT,embotado
wide,wide,1243,WIDE,largo
below,below,1485,BELOW OR UNDER,em baixo
boyyoungman,"boy, young man",76,YOUNG MAN,rapaz
sit,sit,1416,SIT,sentado
sew,sew,1457,SEW,coser
when,when,1238,WHEN,quando
alive,alive,1422,BE ALIVE,vivo
lake,lake,624,LAKE,lago
ash,ash,646,ASH,cinza
maniocflourinwater,manioc flour in water,,,chibe
all,all,98,ALL,todos
tell,tell,1711,TELL,dizer
hairy,hairy,,,piloso (peludo
sharp,sharp,1396,SHARP,afiado
field,field,212,FIELD,roça
why,why,1270,WHY,porque
sea,sea,1474,SEA,mar
withpedro,with pedro,1340,WITH,com Pedro
wet,wet,1726,WET,molhado
skin,skin,763,SKIN,pele
tooth,tooth,1380,TOOTH,dente
feather,feather,1201,FEATHER,pena
bark,bark,1204,BARK,casca
instrumental,instrumental,,,instrumental
mouth,mouth,674,MOUTH,boca
meat,meat,2615,FLESH OR MEAT,carne
tail,tail,1220,TAIL,rabo
wing,wing,1257,WING,asa
back,back,1291,BACK,costas
heart,heart,1223,HEART,coração
hand,hand,1277,HAND,mão
liver,liver,1224,LIVER,fígado
leg,leg,1297,LEG,perna
neck,neck,1333,NECK,pescoço
lips,lips,478,LIP,lábios
guts,guts,1334,GUTS,tripa
belly,belly,1251,BELLY,barriga
eye,eye,1248,EYE,olho
hair,hair,2648,HAIR (HEAD),cabelo
inside,inside,1606,INSIDE,dentro
bad,bad,1292,BAD,mal
three,three,492,THREE,três
dry,dry,1398,DRY,seco
good,good,1035,GOOD,bom
pierce,pierce,398,PIERCE,furar
arm,arm,1673,ARM,braço
shoot,shoot,1172,SHOOT,atirar
personcivilized,"person, civilized",2661,PEOPLE OR PERSON,Pessoa Civilizado
and,and,1577,AND,e
hometohome,home (to home),2754,TOWARDS,casa (para casa
chest,chest,1592,CHEST,peito
homeathome,home (at home),1460,IN,em casa
youpl,you pl.,1213,YOU,vós
nail,nail,1896,FINGERNAIL OR TOENAIL,unha
worm,worm,1219,WORM,vermelho
river,river,666,RIVER,rio
water,water,948,WATER,água
porrige,porrige,,,mingau
five,five,493,FIVE,cinco
go,go,695,GO,ir
in,in,1460,IN,em
riverchanel,river chanel,,,paranã
small,small,1246,SMALL,pequeno
skinny,skinny,1400,THIN (SLIM),Magro
dog,dog,2009,DOG,cachorro
anaconda,anaconda,896,ANACONDA (WATER BOA),cobra-grande
soul,soul,811,SOUL,Alma
new,new,1231,NEW,novo
fishv,fish (v),2638,FISHING,Pescar
cook,cook,1100,COOK (SOMETHING),Cozinhar
